"Job No. ","Result ","Start Time ","End Time ","Dept. ID ","Job Type","File Name ","User Name ","Original Pages ","Output Pages ","Sheets x Copies ","End Code ","Job Note ","Details "
6332,"OK",09/19/2017 11:17:38,09/19/2017 11:18:13,,"Printer Print ","Measurements_Lab_Report_1 (1).pd","kdoughe4","10","10","10 X 1","OK","",""
6331,"OK",09/19/2017 11:12:18,09/19/2017 11:13:37,,"Printer Print ","Fermentation Lab - Final.pdf","cpulmano","39","39","39 X 1","OK","",""
6330,"OK",09/19/2017 11:10:04,09/19/2017 11:11:29,,"Printer Print ","Fermentation Lab - Final.pdf","cpulmano","39","39","20 X 1","OK","",""
6329,"OK",09/19/2017 10:49:43,09/19/2017 10:50:03,,"Printer Print ","Catalytic Oxidation of Methane L","mflood3","2","2","2 X 1","OK","",""
6328,"OK",09/19/2017 10:48:29,09/19/2017 10:48:52,,"Printer Print ","Catalytic Oxidation of Methane L","mflood3","2","2","1 X 1","OK","",""
6327,"OK",09/19/2017 10:46:49,09/19/2017 10:47:26,,"Printer Print ","Microsoft Word - Report","aprestam","7","7","7 X 1","OK","",""
6326,"OK",09/19/2017 10:45:46,09/19/2017 10:46:23,,"Printer Print ","James Cole AME 20216 Lab A3 Deli","jcole8","2","2","1 X 1","OK","",""
6325,"OK",09/19/2017 10:43:38,09/19/2017 10:45:02,,"Printer Print ","Catalytic Oxidation of Methane L","mflood3","38","38","19 X 1","OK","",""
6324,"OK",09/19/2017 10:43:00,09/19/2017 10:43:28,,"Printer Print ","James Cole AME 20216 Lab A3 Deli","jcole8","2","2","1 X 1","OK","",""
6323,"OK",09/19/2017 9:22:40,09/19/2017 9:23:13,,"Printer Print ","measurements_lab_1 (1).pdf","jveschi","8","8","8 X 1","OK","",""
6322,"OK",09/19/2017 9:17:52,09/19/2017 9:18:20,,"Printer Print ","Exam 2 Review ROSP10110.pdf","adempse1","2","2","1 X 1","OK","",""
6321,"OK",09/19/2017 9:16:38,09/19/2017 9:17:35,,"Printer Print ","lecture_precipitation.pdf","adempse1","21","21","11 X 1","OK","",""
6320,"OK",09/19/2017 9:16:27,09/19/2017 9:17:01,,"Printer Print ","ACFrOgB0UJFfUzwbmTYouYFUsIirfyH-","rappel","8","8","8 X 1","OK","",""
6319,"OK",09/19/2017 9:04:46,09/19/2017 9:04:59,,"Printer Print ","Problem4_5a.JPG","gporter2","1","1","1 X 1","OK","",""
6318,"OK",09/19/2017 9:04:44,09/19/2017 9:04:57,,"Printer Print ","Problem4_5b.JPG","gporter2","1","1","1 X 1","OK","",""
6317,"OK",09/19/2017 9:04:33,09/19/2017 9:04:56,,"Printer Print ","Problem4_5c.JPG","gporter2","1","1","1 X 1","OK","",""
6316,"OK",09/19/2017 8:46:46,09/19/2017 8:47:13,,"Printer Print ","Tracy flyer_ final.pdf","mlakin","1","1","1 X 1","OK","",""
6315,"OK",09/19/2017 8:19:09,09/19/2017 8:19:36,,"Printer Print ","Tracy flyer_ final.pdf","mlakin","1","4","1 X 4","OK","",""
6314,"OK",09/19/2017 8:14:19,09/19/2017 8:14:43,,"Printer Print ","Tracy flyer_ final.pdf","mlakin","1","1","1 X 1","OK","",""
6313,"OK",09/19/2017 4:12:59,09/19/2017 4:13:23,,"Printer Print ","HW2PRB2GW.xlsx","njunge","1","1","1 X 1","OK","",""
6312,"OK",09/19/2017 0:13:24,09/19/2017 0:13:58,,"Printer Print ","measurements-lab-1 (1).pdf","rsulli12","7","7","7 X 1","OK","",""
6311,"OK",09/18/2017 23:26:12,09/18/2017 23:26:50,,"Printer Print ","measurements-lab-1.pdf","rsulli12","7","7","4 X 1","OK","",""
6310,"OK",09/18/2017 22:05:34,09/18/2017 22:06:02,,"Printer Print ","FluidsHw4.pdf","cgarci13","2","2","1 X 1","OK","",""
6309,"OK",09/18/2017 21:17:12,09/18/2017 21:17:49,,"Printer Print ","Microsoft Word - Report","aprestam","7","7","4 X 1","OK","",""
6308,"OK",09/18/2017 21:02:28,09/18/2017 21:02:58,,"Printer Print ","ACFrOgALIdKNWA24GQN66AWo-glF2id5","jli13","6","6","6 X 1","OK","",""
6307,"OK",09/18/2017 21:00:01,09/18/2017 21:00:30,,"Printer Print ","ACFrOgALIdKNWA24GQN66AWo-glF2id5","jli13","6","6","3 X 1","OK","",""
6306,"NG",09/18/2017 20:59:57,09/18/2017 21:00:07,,"Printer Print ","ACFrOgALIdKNWA24GQN66AWo-glF2id5","jli13","0","0","0 X 0","#857","",""
6305,"OK",09/18/2017 20:54:17,09/18/2017 20:54:54,,"Printer Print ","Microsoft Word - Report","aprestam","7","7","4 X 1","OK","",""
6304,"OK",09/18/2017 20:23:32,09/18/2017 20:23:55,,"Printer Print ","Battery Lab.pdf","mcerutti","1","1","1 X 1","OK","",""
6303,"OK",09/18/2017 17:44:35,09/18/2017 17:45:05,,"Printer Print ","Lecture 11 - 09-15-2018 -2.pdf","tchen8","3","3","2 X 1","OK","",""
6302,"OK",09/18/2017 16:50:15,09/18/2017 16:50:30,,"Printer Print ","Microsoft Word - AME 20216 Lab 3","qdo2","2","2","2 X 1","OK","",""
6301,"OK",09/18/2017 16:49:09,09/18/2017 16:49:34,,"Printer Print ","Microsoft Word - AME 20216 Lab 3","qdo2","3","3","2 X 1","OK","",""
6300,"OK",09/18/2017 16:30:21,09/18/2017 16:30:39,,"Printer Print ","Book1","dpegg","1","1","1 X 1","OK","",""
6299,"OK",09/18/2017 16:00:24,09/18/2017 16:00:39,,"Printer Print ","PFSPlot","dpegg","1","1","1 X 1","OK","",""
6298,"OK",09/18/2017 15:56:53,09/18/2017 15:57:09,,"Printer Print ","PFSPlot","dpegg","1","1","1 X 1","OK","",""
6297,"OK",09/18/2017 15:28:05,09/18/2017 15:28:16,,"Printer Print ","HW5.pdf","mfevre","1","1","1 X 1","OK","",""
6296,"OK",09/18/2017 15:25:26,09/18/2017 15:26:55,,"Printer Print ","chapter5.pdf","mfevre","45","45","23 X 1","OK","",""
6295,"OK",09/18/2017 15:20:53,09/18/2017 15:21:29,,"Printer Print ","oe-25-19-22490.pdf","yzhang34","9","9","5 X 1","OK","",""
6294,"OK",09/18/2017 14:58:27,09/18/2017 14:59:01,,"Printer Print ","Design of Aircraft - Corke.pdf","smeyer4","12","12","6 X 1","OK","",""
6293,"NG",09/18/2017 14:54:03,09/18/2017 14:54:13,,"Printer Print ","Design of Aircraft - Corke.pdf","smeyer4","0","0","0 X 0","#857","",""
6292,"OK",09/18/2017 14:36:49,09/18/2017 14:37:13,,"Printer Print ","ACFrOgDOxHrfZgWVHQ0k4JLOfbWEbDkj","gchapma1","2","2","1 X 2","OK","",""
6291,"OK",09/18/2017 14:25:29,09/18/2017 14:25:53,,"Printer Print ","Microsoft Word - PV_HW3","smeyer4","2","2","2 X 1","OK","",""
6290,"OK",09/18/2017 13:54:00,09/18/2017 13:54:24,,"Printer Print ","Microsoft Word - Lab E1","jhughes7","7","7","7 X 1","OK","",""
6289,"OK",09/18/2017 13:50:53,09/18/2017 13:51:16,,"Printer Print ","ACFrOgCYIWrLCl9AEXsWlu58CoCaQ9D3","rrichels","5","5","1 X 5","OK","",""
6288,"OK",09/18/2017 13:36:47,09/18/2017 13:37:04,,"Printer Print ","PIV A Novella (1).pdf","ookunzua","2","2","1 X 1","OK","",""
6287,"OK",09/18/2017 13:32:18,09/18/2017 13:33:51,,"Printer Print ","PIV A Novella.pdf","ookunzua","49","49","25 X 1","OK","",""
6286,"OK",09/18/2017 13:29:47,09/18/2017 13:30:11,,"Printer Print ","Senior Lab Manual 2017.pdf","ookunzua","4","4","2 X 1","OK","",""
6285,"OK",09/18/2017 13:17:02,09/18/2017 13:17:32,,"Printer Print ","ACFrOgBOkGEIbnyvQeOsmWaRORvLMNvD","ookunzua","9","9","5 X 1","OK","",""
6284,"OK",09/18/2017 13:12:01,09/18/2017 13:12:30,,"Printer Print ","ACFrOgC-7uwK0oD3Kvllz1J6-G-Cl7lk","tgood1","7","7","4 X 1","OK","",""
6283,"OK",09/18/2017 13:10:27,09/18/2017 13:11:02,,"Printer Print ","ACFrOgAtF7bEsp5onQGe5jykgvISUgA0","ookunzua","12","12","6 X 1","OK","",""
6282,"OK",09/18/2017 13:04:37,09/18/2017 13:05:13,,"Printer Print ","ACFrOgBPYxMFbp1aQB-ejY2jhixAU5m8","ookunzua","12","12","6 X 1","OK","",""
6281,"OK",09/18/2017 12:46:07,09/18/2017 12:46:39,,"Printer Print ","ACFrOgDkMzxlaWAe03R1-Q_beI15VRSU","ookunzua","10","10","1 X 5","OK","",""
6280,"OK",09/18/2017 12:36:33,09/18/2017 12:36:54,,"Printer Print ","ACFrOgBAyT8VWCjmw_tWyfBeKIOkP-Q0","jherrma2","5","5","5 X 1","OK","",""
6279,"OK",09/18/2017 12:32:32,09/18/2017 12:32:45,,"Printer Print ","ACFrOgAqpH6LCtzv2zwc3QsqXNA8Dxrk","jherrma2","1","1","1 X 1","OK","",""
6278,"OK",09/18/2017 12:29:54,09/18/2017 12:30:08,,"Printer Print ","Untitled document - Google Docs","bkenned8","3","3","3 X 1","OK","",""
6277,"OK",09/18/2017 12:28:53,09/18/2017 12:29:07,,"Printer Print ","HW4 Solutions.pdf","bkenned8","2","2","1 X 1","OK","",""
6276,"OK",09/18/2017 12:28:46,09/18/2017 12:29:00,,"Printer Print ","HW3 Solutions.pdf","bkenned8","2","2","1 X 1","OK","",""
6275,"OK",09/18/2017 12:28:06,09/18/2017 12:28:26,,"Printer Print ","HW2 Solutions.pdf","bkenned8","3","3","2 X 1","OK","",""
6274,"OK",09/18/2017 12:27:57,09/18/2017 12:28:16,,"Printer Print ","Homework1 Solutions.pdf","bkenned8","4","4","2 X 1","OK","",""
6273,"OK",09/18/2017 12:27:02,09/18/2017 12:27:26,,"Printer Print ","ACFrOgDoRFAngB61pLLYB8k9eFi-6de3","jherrma2","6","6","6 X 1","OK","",""
6272,"OK",09/18/2017 12:25:45,09/18/2017 12:26:06,,"Printer Print ","Lab 1 - jherrma2@nd.edu - Univer","jherrma2","1","1","1 X 1","OK","",""
6271,"OK",09/18/2017 11:18:39,09/18/2017 11:19:14,,"Printer Print ","FinalizedLab1Report.pdf","ngron","9","9","9 X 1","OK","",""
6270,"OK",09/18/2017 10:44:47,09/18/2017 10:45:07,,"Printer Print ","F17_E1_score_sheet.pdf","aduarteg","2","2","1 X 1","OK","",""
